chrom	bin_start	bin_end	count	density
demo_chr1	0	100	15	1
demo_chr1	100	200	15	1
demo_chr1	200	300	12	0.8
demo_chr1	300	400	0	0
demo_chr1	400	500	0	0
demo_chr1	500	600	0	0
demo_chr1	600	700	0	0
demo_chr1	700	800	0	0
demo_chr1	800	900	0	0
demo_chr1	900	1000	0	0
demo_chr1	1000	1100	0	0
demo_chr1	1100	1200	0	0
demo_chr1	1200	1300	0	0
demo_chr1	1300	1400	0	0
demo_chr1	1400	1500	0	0
demo_chr1	1500	1600	0	0
demo_chr1	1600	1700	0	0
demo_chr1	1700	1800	12	0.8
demo_chr1	1800	1900	15	1
demo_chr1	1900	2000	15	1
demo_chr1	2000	2034	0	0
